page,broken_url,status,reason,suggested_replacement,notes
new-york.html,https://collections.nypl.org/,N/A,Connection failed,https://digitalcollections.nypl.org/,Push
new-york.html,https://nysl.libguides.com/eriecanal,N/A,Connection failed,https://nyslibrary.libguides.com/eriecanal,Push
north-carolina.html,http://libcdm1.uncg.edu/cdm/search/collection/CivilRights/,N/A,Timeout,https://pages.digitalgreensboro.org/highlights/crg/,Push
north-carolina.html,https://guides.library.duke.edu/c.php?g=1317696&p=11141549,404,Not Found,https://guides.library.duke.edu/c.php?g=1317696,Push
north-dakota.html,https://www.history.nd.gov/archives/manuscripts/agriculture.html,404,Not Found,https://www.history.nd.gov/archives/,Delete
north-dakota.html,https://www.history.nd.gov/archives/manuscripts/inventory/10335.html,404,Not Found,https://www.lakotasongs.com/,REPLACE with Lakota Songs URL and information
ohio.html,https://uchistorylab.com/whda/s/whda/page/archives,404,Not Found,https://wyandotte-archive.org/,Push
oklahoma.html,https://ncppt.nps.gov/rt66archive/oklahoma-digital-collections/,N/A,Connection failed,https://www.nps.gov/subjects/route66/,Delete
oklahoma.html,https://www.nativeoralhistory.org/,N/A,Client error,,No change needed
pacific.html,https://californiareveal.org/,N/A,Connection failed,https://californiarevealed.org/,"Push; ""California Revealed"" (not ""Reveal"")"
pacific.html,https://library.berkeley.edu/ea/,N/A,Timeout,https://www.lib.berkeley.edu/visit/east-asian/collections,Push
pacific.html,https://plateauportal.wsu.edu/,N/A,Connection failed,https://plateauportal.libraries.wsu.edu/,Push
pacific.html,https://www.lib.berkeley.edu/libraries/bancroft-library/digital-collections,404,Not Found,https://calisphere.org/institution/4/collections/,Push
pennsylvania.html,https://guides.loc.gov/chronicling-america-johnstown-flood-introduction,404,Not Found,https://guides.loc.gov/chronicling-america-johnstown-flood,Push
pennsylvania.html,https://www.pa.gov/agencies/phmc/pa-state-archives/research-online/research-guides/slavery-and-underground-railroad-resources-manuscript-groups,404,Not Found,https://www.pa.gov/agencies/phmc/pa-state-archives/research-online/research-guides/slavery-and-underground-railroad-resources-record-groups,Push
pennsylvania.html,https://www.phmc.state.pa.us/portal/communities/documents/1681-1770/default.html,404,Not Found,https://www.pa.gov/agencies/phmc/,Delete
pennsylvania.html,https://www.phmc.state.pa.us/portal/communities/documents/default.html,404,Not Found,https://www.pa.gov/agencies/phmc/,Delete
religious-history.html,https://oberlinarchives.libraryhost.com/index.php?p=collections/controlcard&id=85,N/A,Connection failed,,Delete
rhode-island.html,https://archive.org/details/lettersrogerwill00will,404,Not Found,https://archive.org/details/lettersofrogerwi00will,Push
rhode-island.html,https://usnwcarchive.org/,N/A,Connection failed,https://www.usnwcarchives.org/,Push
rhode-island.html,https://www.loc.gov/collections/american-indians-of-the-pacific-northwest/,404,Standard 40x,,Delete
rhode-island.html,https://www.nps.gov/blrv/learn/historyculture/slater-mill.htm,404,Not Found,https://www.nps.gov/blrv/learn/historyculture/index.htm,Delete
south-carolina.html,https://digital.scetv.org/teachingAmerhistory/tTrove/orangeburgmassacre.htm,N/A,Timeout,https://www.scetv.org/orangeburg-massacre,Push
southeast.html,https://www.american-south.org/,N/A,Connection failed,https://docsouth.unc.edu/,Push
southwest.html,https://www.tsl.texas.gov/treasures/giants/cattle/page1.html,404,Not Found,,Delete
tennessee.html,https://digitaltennesday.tnsos.gov/,N/A,Connection failed,https://teva.contentdm.oclc.org/,Push
us-latin-america.html,https://www.cia.gov/readingroom/,N/A,Client error,https://www.cia.gov/readingroom/,No change needed
us-latin-america.html,https://www.cia.gov/readingroom/collection/guatemala,N/A,Client error,https://www.cia.gov/readingroom/collection/guatemala,No change needed
us-virgin-islands.html,https://uvi.sobeklibrary.com/ua,404,Not Found,https://uvildc.contentdm.oclc.org/,Push
vermont.html,https://parks.ny.gov/historic-sites/bennington-battlefield/details.aspx,404,Not Found,https://parks.ny.gov/historic-sites/bennington-battlefield/,Delete
vermont.html,https://vermonthistoryexplorer.org/en/,404,Not Found,https://vermonthistoryexplorer.org/,Push
washington.html,http://ntserver1.wsulibs.wsu.edu/masc/finders/pc104.htm,N/A,Timeout,https://tricities.wsu.edu/hanfordhistory/photo-gallery/,Push
west-virginia.html,https://www.digitallibraryofappalachia.org/,N/A,Connection failed,https://dla.contentdm.oclc.org/,Push
west-virginia.html,https://www.libraries.psu.edu/about/collections/united-mine-workers-america-archives,404,Not Found,https://guides.libraries.psu.edu/c.php?g=443716&p=3026284,Push
westward-expansion.html,https://calisphere.org/collections/25989/,404,Not Found,https://calisphere.org/exhibitions/t3/gold-rush/,Push
westward-expansion.html,https://westernamericana.yale.edu/,N/A,Connection failed,https://collections.library.yale.edu/catalog?search_field=all_fields&q=western%20americana,Push
westward-expansion.html,https://www.archives.gov/research/military/indian-wars,404,Not Found,https://www.archives.gov/research/military,Delete
westward-expansion.html,https://www.autry.org/research,404,Not Found,https://theautry.org/research-collections,Push
westward-expansion.html,https://www.californiahistoricalsociety.org/collections/,N/A,Timeout,https://library.stanford.edu/california-historical-society-collection-stanford,Push; is now California Historical Society at Stanford
westward-expansion.html,https://www.isu.edu/digitalhistory/overland-trails/,404,Not Found,,Delete
westward-expansion.html,https://www.kshs.org/p/cattle-trails-of-kansas/11643,404,Not Found,,Delete
westward-expansion.html,https://www.newberry.org/collection/general-information,404,Not Found,https://collections.newberry.org/CS.aspx?VP3=DamView&VBID=2KXJA4UNIKSG&PN=1&WS=SearchResults,Push
westward-expansion.html,https://www.tsl.texas.gov/treasures/giants/cattle/page1.html,404,Not Found,,Delete
westward-expansion.html,https://www.usgs.gov/special-topics/history,404,Not Found,https://www.usgs.gov/about/organization/history,Delete
womens-history.html,https://ecssba.rutgers.edu/,N/A,Connection failed,,Delete
womens-history.html,https://susanbanthonyhouse.org/research-resources/,404,Not Found,https://susanbanthonyhouse.org/,Delete
womens-history.html,https://www.archives.gov/education/lessons/title-ix,404,Not Found,https://www.docsteach.org/,Delete
womens-history.html,https://www.womenshistory.org/resources/general/digital-collections,404,Not Found,https://www.womenshistory.org/students-educators/research-resources,Push
womens-history.html,https://www.womenssportsfoundation.org/education/title-ix-history/,404,Not Found,,Delete
